book_name,book_pic,book_score,book_type,comment_nums,author,publisher,publisher_address,book_price,book_description
癌症·真相-医生也在读,https://img9.doubanio.com/view/subject/s/public/s29459056.jpg,8.9,科技,3988,菠萝,清华大学出版社,清华大学,39,荣获中宣部、中国图书评论学会和央视“2015中国好书”奖荣获第十一届文津图书奖荣获第八届吴大猷科学普及著作奖荣获第四届中国科普作家协会优秀科普作品奖... 
改变心理学的40项研究,https://img2.doubanio.com/view/subject/s/public/s27276912.jpg,9.2,科技,3991,罗杰•霍克 (Roger R. Hock)/白学军,人民邮电出版社,人民邮电,0,本书的独到之处在于填补了心理学书籍和心理学研究之间的沟壑，从历史的角度展示了心理学史上最有名的40项研究，并介绍了这些研究的后续进展和相关研究。通过阅读本书... 
好的婚姻，要守护财产和爱-人人都需要的婚姻安全必修课,https://img2.doubanio.com/view/subject/s/public/s33537302.jpg,8.8,科技,1891,吴杰臻,北京联合出版有限公司,北京联合,49,世界变化越来越快，离婚大战在我们身边时有上演。作为一名离婚律师，吴杰臻律师目睹了婚姻百态，当“教人离婚”成为日常工作时，他也在不断对婚姻进行思考，希望能从中... 
编码-隐匿在计算机软硬件背后的语言,https://img2.doubanio.com/view/subject/s/public/s27331702.jpg,9.3,科技,3828,[美] Charles Petzold/左飞、薛佟佟,电子工业出版社,电子工业,0,本书讲述的是计算机工作原理。作者用丰富的想象和清晰的笔墨将看似繁杂的理论阐述得通俗易懂，你丝毫不会感到枯燥和生硬。更重要的是，你会因此而获得对计算机工作原理... 
吴军数学通识讲义-原来数学可以这样用,https://img3.doubanio.com/view/subject/s/public/s33879350.jpg,8.9,科技,42,吴军,新星出版社,新星,99,如何一眼识破庞氏骗局、做好理财、投资？如何在购房贷款时做出最优选择？如何增加简历通过初筛的几率？如何规划公司的发展曲线？更重要的是，如何提升自己的... 
海错图笔记,https://img3.doubanio.com/view/subject/s/public/s29149391.jpg,8.2,科技,4961,张辰亮,中信出版社／中国国家地理·图书,中信,68,海错的“错”，是种类繁多、错杂的意思。清代画家兼生物爱好者聂璜绘制的《海错图》，共描绘了300多种生物，几乎涵盖无脊椎动物门和脊索动物门的大部分主要类群，... 
数学之美,https://img9.doubanio.com/view/subject/s/public/s9114855.jpg,8.7,科技,11538,吴军,人民邮电出版社,人民邮电,45,几年前，“数学之美”系列文章原刊载于谷歌黑板报，获得上百万次点击，得到读者高度评价。读者说，读了“数学之美”，才发现大学时学的数学知识，比如马尔可夫链、矩阵... 
大脑的一天-The Neuroscience of Consciousness from Dawn Till Dusk,https://img3.doubanio.com/view/subject/s/public/s33804000.jpg,8.9,科技,41,[英]苏珊·格林菲尔德/韩萌、范穹宇、李贯峰,上海文艺出版社,上海文艺,0,每个人都拥有自己独特的、无法与他人直接分享的主观意识世界。我们的物理大脑究竟是如何产生如此丰富多样的意识的？国际著名神经科学家苏珊·格林菲尔德通过追踪大脑一... 
超级大脑在想啥？-漫画病菌、人类与历史,https://img2.doubanio.com/view/subject/s/public/s33810582.jpg,7.8,科技,342,陈磊·混知团队、张文宏,中信出版集团,中信,69,本书运用了混知团队独特的视觉化、脉络化的漫画科普方式，结合张文宏教授的专业知识，用全新的角度梳理了改变人类历史和世界格局的 9 场大瘟疫。天花的肆虐，一步... 
病毒星球,https://img9.doubanio.com/view/subject/s/public/s32294606.jpg,8.2,科技,5104,[美]卡尔·齐默/刘旸,广西师范大学出版社,广西师范大学,0,★69%的人携带了一种致癌病毒，当事人却不知道。★止咳糖浆除了给感冒患者心理安慰以外，更有一定几率导致心悸甚至死亡。★人类在本质上不过是一堆不断混合、闪... 
