,book_num,book_name,author,book_type,book_price,book_inventory,book_score,book_description,book_sales,comment_nums,publisher_id
35,202105161857124205,仿制药的真相,[美] 凯瑟琳·埃班/高天羽,科技,0,943,8.7,仿制药是在品牌药专利到期之后，合法仿制出来的廉价版本。据称它的成分、效果与品牌药几乎一样。仿制药的广泛应用被誉为“21世纪公共卫生领域最伟大的进步”。如今... ,19,1870,26
36,202105161857122154,气候经济与人类未来-比尔·盖茨给世界的解决方案,[美国] 比尔·盖茨/陈召强,科技,0,641,8.3,比尔·盖茨花了十年时间调研气候变化的成因和影响。在物理学、化学、生物学、工程学、政治学和经济学等领域的专家的支持下，他专注于探索减少温室气体排放的新技术。... ,80,420,4
37,202105161857128636,云彩收集者手册,[英] 加文·普雷特-平尼/王燕平、张超,科技,0,179,8.4,本书介绍了46种云彩和大气光学现象，并且收录了全世界云彩爱好者 拍摄的百余幅精彩摄影作品。从太空 边缘的神秘夜光云，到我们周围的重重雾霭，都在这本手册之中。... ,399,5697,24
38,202105161857128723,中国古代文化常识-插图修订第4版,王力 主编、马汉麟 等执笔、姜亮夫 叶圣陶 等审校、刘乐园 修订,科技,60,16,9.4,◎编辑推荐你知道武王克商的繁复真相么？你知道我们所能见到的有关猫的最早实物么？你知道知名的司母戊鼎有一个假耳朵么？你知道孟姜女姓姜不姓孟么？你知道汉代穿... ,201,2261,13
39,202105161857127032,现实不似你所见-量子引力之旅,[意] 卡洛·罗韦利/杨光,科技,0,123,9.2,世界的基本组成部分是什么？时间和空间真的存在吗？现实（Reality）的本质是什么？现象级科普畅销书《七堂极简物理课》作者、意大利理论物理学家卡洛·罗韦利以... ,134,3618,3
40,202105161857125864,迷人的材料-10种改变世界的神奇物质和它们背后的科学故事,马克·米奥多尼克/赖盈满,科技,0,622,8.3,从茶杯、喷气发动机到家用电器、内裤，我们的生活充满了材料。但你想过没有，为什么玻璃是透明的？是什么让橡皮筋有弹性？为什么曲别针会弯曲？为什么不锈钢不生锈？水... ,538,4274,27
41,202105161857127528,这里是中国,星球研究所、中国青藏高原研究会,科技,168,963,8.2,《这里是中国》由星球研究所近3年积累而成国内第一部全视野中国地理科普著作庆祝中华人民共和国成立70周年，提升国民视野，传承核心价值观书架上的中国纪录片... ,784,4950,4
42,202105161857123267,费马大定理-一个困惑了世间智者358年的谜,西蒙·辛格/薛密,科技,0,167,9.2,【编辑推荐】★畅销5年，加印10次，万条评论，豆瓣9.2分！★被誉为“科普作品中的武侠小说”“好莱坞感的数学史”的经典之作！★改变你对数学的刻板印象，... ,136,2680,28
43,202105161857126925,七堂极简物理课,[意] 卡洛·罗韦利/文铮、陶慧慧,科技,0,368,8.3,在本书中，意大利物理学家卡洛•罗韦利，用诗一般简洁优美的语言，向读者讲述了20世纪以来现代物理学的伟大理论发现。相对论、量子力学、宇宙的结构、空间的颗粒、时... ,164,11261,29
44,202105161857128049,只有医生知道!-@协和张羽 发给天下女人的私信,张羽,科技,35,977,8.5,这是一本有关女性的百科全书。抱着“大医治未病”的愿景，作者通过一个个生动的故事，在幽默而不乏温情的叙述中，力图帮助女性真正了解自己的身体，懂得爱护并且知道如... ,705,13667,30
45,202105161857125364,小岛经济学-鱼、美元和经济的故事,彼得·希夫、安德鲁·希夫/胡晓姣、吕靖纬、陈志超,科技,0,907,8.1,你一定非常想知道：通货膨胀到底是怎么来的？为什么中国要购买那么多的美国国债？扭转恶化的经济状况是该花钱，还是存钱？为什么有些国家很富有，而另外一些国家... ,504,3675,31
46,202105161857129908,癌症·真相-医生也在读,菠萝,科技,39,24,8.9,荣获中宣部、中国图书评论学会和央视“2015中国好书”奖荣获第十一届文津图书奖荣获第八届吴大猷科学普及著作奖荣获第四届中国科普作家协会优秀科普作品奖... ,128,3988,32
47,202105161857121535,改变心理学的40项研究,罗杰•霍克 (Roger R. Hock)/白学军,科技,0,153,9.2,本书的独到之处在于填补了心理学书籍和心理学研究之间的沟壑，从历史的角度展示了心理学史上最有名的40项研究，并介绍了这些研究的后续进展和相关研究。通过阅读本书... ,3,3991,33
48,202105161857129099,好的婚姻，要守护财产和爱-人人都需要的婚姻安全必修课,吴杰臻,科技,49,968,8.8,世界变化越来越快，离婚大战在我们身边时有上演。作为一名离婚律师，吴杰臻律师目睹了婚姻百态，当“教人离婚”成为日常工作时，他也在不断对婚姻进行思考，希望能从中... ,319,1891,34
49,202105161857123924,编码-隐匿在计算机软硬件背后的语言,[美] Charles Petzold/左飞、薛佟佟,科技,0,587,9.3,本书讲述的是计算机工作原理。作者用丰富的想象和清晰的笔墨将看似繁杂的理论阐述得通俗易懂，你丝毫不会感到枯燥和生硬。更重要的是，你会因此而获得对计算机工作原理... ,221,3828,35
50,202105161857129927,吴军数学通识讲义-原来数学可以这样用,吴军,科技,99,329,8.9,如何一眼识破庞氏骗局、做好理财、投资？如何在购房贷款时做出最优选择？如何增加简历通过初筛的几率？如何规划公司的发展曲线？更重要的是，如何提升自己的... ,90,42,36
51,202105161857125737,海错图笔记,张辰亮,科技,68,799,8.2,海错的“错”，是种类繁多、错杂的意思。清代画家兼生物爱好者聂璜绘制的《海错图》，共描绘了300多种生物，几乎涵盖无脊椎动物门和脊索动物门的大部分主要类群，... ,139,4961,37
52,202105161857121321,数学之美,吴军,科技,45,871,8.7,几年前，“数学之美”系列文章原刊载于谷歌黑板报，获得上百万次点击，得到读者高度评价。读者说，读了“数学之美”，才发现大学时学的数学知识，比如马尔可夫链、矩阵... ,131,11538,33
53,202105161857122877,大脑的一天-The Neuroscience of Consciousness from Dawn Till Dusk,[英]苏珊·格林菲尔德/韩萌、范穹宇、李贯峰,科技,0,40,8.9,每个人都拥有自己独特的、无法与他人直接分享的主观意识世界。我们的物理大脑究竟是如何产生如此丰富多样的意识的？国际著名神经科学家苏珊·格林菲尔德通过追踪大脑一... ,410,41,38
54,202105161857121726,超级大脑在想啥？-漫画病菌、人类与历史,陈磊·混知团队、张文宏,科技,69,175,7.8,本书运用了混知团队独特的视觉化、脉络化的漫画科普方式，结合张文宏教授的专业知识，用全新的角度梳理了改变人类历史和世界格局的 9 场大瘟疫。天花的肆虐，一步... ,648,342,4
55,202105161857125425,病毒星球,[美]卡尔·齐默/刘旸,科技,0,58,8.2,★69%的人携带了一种致癌病毒，当事人却不知道。★止咳糖浆除了给感冒患者心理安慰以外，更有一定几率导致心悸甚至死亡。★人类在本质上不过是一堆不断混合、闪... ,39,5104,28
56,202105161857123985,半小时漫画经济学-生活常识篇,陈磊·半小时漫画团队,科技,49,920,6.7,在大多数读者的心目中，经济学都是专业、晦涩的代名词，但陈磊（笔名：二混子）领衔的半小时漫画团队，却通过手绘漫画和段子，深入浅出地将经济学与我们在现实生活中安... ,455,7278,39
57,202105161857125484,极简宇宙史,[法] 克里斯托弗·加尔法德,科技,0,282,9.1,我们的存在的确让太阳系与众不同。夏夜，你躺在沙滩上，仰望夜空。一颗小小的流星安静滑过，还来不及许愿，不可思议的事情发生了：你一下子穿越五十亿年，走进时光的旅... ,222,7257,40
58,202105161857124788,how to-如何不切实际地解决实际问题,[美]兰道尔·门罗/Ent,科技,0,150,8.3,比尔·盖茨盛赞、全球畅销科普作家、What If？作者兰道尔·门罗新作。用超凡脑洞告诉你，再普通的任务都有一个荒诞却符合科学原理的解决方案。不切实际的答案，... ,144,837,41
59,202105161857124036,上帝掷骰子吗-量子物理史话,曹天元,科技,35,322,9.3,《上帝掷骰子吗》这本书是关于量子论的故事。量子论是一个极为奇妙的理论：从物理角度来说，它在科学家中间引起了最为激烈的争议和关注；从现实角度来说，它给我们的社... ,601,4785,6
60,202105161857122461,章鱼的心灵,[澳] 彼得·戈弗雷-史密斯、Peter Godfrey-Smith/黄颖,科技,0,690,8.5,做一只章鱼或乌贼是怎样的？动物是否能意识到自身感觉到的一切？完全不像人脑的大脑会如何看待世界？哲学×演化 → 心灵×物质主观经验的演化起源也许未必以... ,539,44,18
61,202105161857129418,饮食的迷思-关于营养、健康和遗传的科学真相,[英] 蒂姆·斯佩克特/李超群,科技,0,365,8.3,【专业全面，打破偏见】拥有傲人发表量和超高引用率的“学霸”作者，为读者介绍、剖析几乎全部的饮食营养成分及常见的都市流行饮食方案，一书在手，熟悉饮食的方方面... ,735,1746,28
62,202105161857124531,从一到无穷大,[美] 乔治·伽莫夫/阳曦,科技,0,420,8.9,清华大学校长邱勇送给清华大学新生的入学礼物。中国近40年最具影响力的科普书之一。◆当你翻开这本书，本书将带你：玩遍数字游戏，感受时间与空间组成的奇妙四维世... ,624,1180,42
63,202105161857123978,数学之美（第三版）,吴军,科技,69,553,9.2,八年前，“数学之美”系列文章原刊载于谷歌黑板报，获得上百万次点击，得到读者高度评价。读者说，读了“数学之美”，才发现大学时学的数学知识，比如马尔可夫链、矩阵... ,593,366,33
64,202105161857126948,超越时空-通过平行宇宙、时间卷曲和第十维度的科学之旅,"[美] 加来道雄（Kaku, M）/刘玉玺、曹志良",科技,0,899,9.0,当代物理学中一些非常重要而又艰深的思想，往往因为难以形象浅显地解说而不易为公众了解。本书作者不畏艰辛，用很生动的方式向读者展示了现代物理前沿之一——超空间理... ,193,4099,43
65,202105161857122201,今日简史-人类命运大议题,[以] 尤瓦尔·赫拉利/林俊宏,科技,0,186,8.1,四年前，尤瓦尔•赫拉利的《人类简史》横空出世，颠覆了我们关于人类进化的认知。2016年，他的《未来简史》再度惊艳四座，刷新了我们对未来的想象，掀起了全球关于... ,1,15557,4
66,202105161857125170,饮食术-风靡日本的科学饮食教科书,[日] 牧田善二/肖爽、梁永宣,科技,0,202,7.5,您知道吗？许多身体不适都和不健康的饮食方式有关——不断悄悄增加的体重减不下来、血压过高、容易疲劳、工作中容易犯困、注意力不能持续集中……这些困扰我们的疾病和... ,443,682,44
67,202105161857126680,生命是什么-生命是什么,埃尔温•薛定谔/罗来欧、罗辽复,科技,0,904,8.7,科学，特别是自然科学，最重要的目标之一，就是追寻科学本身的原动力，或曰追寻其第一推动。同时，科学的这种追求精神本身，又成为社会发展和人类进步的一种最基本的推... ,134,3618,3
68,202105161857128541,我包罗万象,［英］埃德·扬/郑李,科技,0,665,8.8,微生物视野下的生命图景全纪录令马克·扎克伯格与比尔·盖茨读到爱不释手的自然新史关于人类与微生物的矛盾冲突、共生合作与多边联盟《纽约时报》2016年备受... ,130,1198,2
69,202105161857123303,尸体变化图鉴,陈禄仕,科技,98,636,9.1,尸体变化图鉴》是陈禄仕教授及其团队数十年来锲而不舍地对法医学尸体变化研究的成果。《尸体变化图鉴》主要内容是通过观察、分析尸体的形态学变化与时间的关系，即通... ,160,1464,45
70,202105161857128030,技术与文明-我们的时代和未来,张笑宇,科技,88,492,8.3,【编辑推荐】我们有石器时代的情感，中世纪的组织，却有着神一样的技术，这是最可怕的事情。.人与机器之间的边界，最危险之处并不在于机器能够变得多么像人，而... ,769,124,46
